season_team_id,season_code,team_id,games_played,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game
2022_BBU,U2022,BBU,3.0,120.0,246,56,106,33,83,35,60,38,78,116,48,18,44,8,4,61,66,268,40.0,82.0,18.67,35.33,0.528,11.0,27.67,0.398,11.67,20.0,0.583,12.67,26.0,38.67,16.0,6.0,14.67,2.67,1.33,20.33,22.0,89.33
2022_BOU,U2022,BOU,3.0,120.0,253,63,113,29,75,40,52,30,76,106,52,26,41,5,6,64,59,282,40.0,84.33,21.0,37.67,0.558,9.67,25.0,0.387,13.33,17.33,0.769,10.0,25.33,35.33,17.33,8.67,13.67,1.67,2.0,21.33,19.67,94.0
2022_BRE,U2022,BRE,3.0,125.0,265,69,116,25,80,52,64,38,88,126,56,26,44,12,6,58,64,327,41.67,88.33,23.0,38.67,0.595,8.33,26.67,0.312,17.33,21.33,0.812,12.67,29.33,42.0,18.67,8.67,14.67,4.0,2.0,19.33,21.33,109.0
2022_BUD,U2022,BUD,3.0,125.0,259,77,141,24,71,33,53,47,95,142,53,26,48,15,5,58,56,309,41.67,86.33,25.67,47.0,0.546,8.0,23.67,0.338,11.0,17.67,0.623,15.67,31.67,47.33,17.67,8.67,16.0,5.0,1.67,19.33,18.67,103.0
2022_CAN,U2022,CAN,3.0,120.0,261,56,97,38,96,35,44,36,64,100,61,23,43,7,4,76,54,275,40.0,87.0,18.67,32.33,0.577,12.67,32.0,0.396,11.67,14.67,0.795,12.0,21.33,33.33,20.33,7.67,14.33,2.33,1.33,25.33,18.0,91.67
2022_CLU,U2022,CLU,3.0,120.0,259,66,109,27,92,46,70,40,77,117,60,18,43,9,5,74,71,280,40.0,86.33,22.0,36.33,0.606,9.0,30.67,0.293,15.33,23.33,0.657,13.33,25.67,39.0,20.0,6.0,14.33,3.0,1.67,24.67,23.67,93.33
2022_HAM,U2022,HAM,3.0,120.0,243,63,125,31,71,24,35,29,70,99,55,31,49,11,12,69,54,250,40.0,81.0,21.0,41.67,0.504,10.33,23.67,0.437,8.0,11.67,0.686,9.67,23.33,33.0,18.33,10.33,16.33,3.67,4.0,23.0,18.0,83.33
2022_HTA,U2022,HTA,3.0,120.0,253,67,131,27,80,38,52,37,91,128,63,20,39,8,10,51,47,288,40.0,84.33,22.33,43.67,0.511,9.0,26.67,0.338,12.67,17.33,0.731,12.33,30.33,42.67,21.0,6.67,13.0,2.67,3.33,17.0,15.67,96.0
2022_JOV,U2022,JOV,3.0,120.0,252,68,120,28,53,32,40,21,85,106,61,18,45,5,6,67,59,298,40.0,84.0,22.67,40.0,0.567,9.33,17.67,0.528,10.67,13.33,0.8,7.0,28.33,35.33,20.33,6.0,15.0,1.67,2.0,22.33,19.67,99.33
2022_LJU,U2022,LJU,3.0,120.0,227,46,102,29,94,48,66,30,64,94,42,16,33,1,11,72,72,197,40.0,75.67,15.33,34.0,0.451,9.67,31.33,0.309,16.0,22.0,0.727,10.0,21.33,31.33,14.0,5.33,11.0,0.33,3.67,24.0,24.0,65.67
2022_LKB,U2022,LKB,3.0,120.0,224,57,100,21,73,47,69,27,74,101,46,20,42,3,7,65,68,231,40.0,74.67,19.0,33.33,0.57,7.0,24.33,0.288,15.67,23.0,0.681,9.0,24.67,33.67,15.33,6.67,14.0,1.0,2.33,21.67,22.67,77.0
2022_LLI,U2022,LLI,3.0,120.0,208,50,105,23,70,39,51,31,73,104,47,24,52,5,3,54,60,225,40.0,69.33,16.67,35.0,0.476,7.67,23.33,0.329,13.0,17.0,0.765,10.33,24.33,34.67,15.67,8.0,17.33,1.67,1.0,18.0,20.0,75.0
2022_PAT,U2022,PAT,3.0,125.0,271,62,115,33,78,48,57,20,79,99,47,21,36,1,8,48,62,302,41.67,90.33,20.67,38.33,0.539,11.0,26.0,0.423,16.0,19.0,0.842,6.67,26.33,33.0,15.67,7.0,12.0,0.33,2.67,16.0,20.67,100.67
2022_PMT,U2022,PMT,3.0,120.0,242,66,118,21,83,47,60,38,61,99,49,34,38,8,8,71,62,250,40.0,80.67,22.0,39.33,0.559,7.0,27.67,0.253,15.67,20.0,0.783,12.67,20.33,33.0,16.33,11.33,12.67,2.67,2.67,23.67,20.67,83.33
2022_PRS,U2022,PRS,3.0,120.0,267,71,121,27,75,44,63,33,84,117,52,23,44,14,7,44,60,321,40.0,89.0,23.67,40.33,0.587,9.0,25.0,0.36,14.67,21.0,0.698,11.0,28.0,39.0,17.33,7.67,14.67,4.67,2.33,14.67,20.0,107.0
2022_TRN,U2022,TRN,3.0,120.0,237,62,134,30,85,23,31,38,68,106,61,25,41,5,7,67,48,232,40.0,79.0,20.67,44.67,0.463,10.0,28.33,0.353,7.67,10.33,0.742,12.67,22.67,35.33,20.33,8.33,13.67,1.67,2.33,22.33,16.0,77.33
2022_TTK,U2022,TTK,3.0,120.0,252,64,105,31,85,31,46,27,67,94,56,28,42,4,11,51,54,274,40.0,84.0,21.33,35.0,0.61,10.33,28.33,0.365,10.33,15.33,0.674,9.0,22.33,31.33,18.67,9.33,14.0,1.33,3.67,17.0,18.0,91.33
2022_ULM,U2022,ULM,3.0,125.0,247,60,110,26,80,49,66,33,74,107,52,17,47,8,9,66,68,256,41.67,82.33,20.0,36.67,0.545,8.67,26.67,0.325,16.33,22.0,0.742,11.0,24.67,35.67,17.33,5.67,15.67,2.67,3.0,22.0,22.67,85.33
2022_VNC,U2022,VNC,3.0,120.0,238,53,100,29,80,45,57,25,70,95,54,24,45,12,8,67,69,262,40.0,79.33,17.67,33.33,0.53,9.67,26.67,0.362,15.0,19.0,0.789,8.33,23.33,31.67,18.0,8.0,15.0,4.0,2.67,22.33,23.0,87.33
2022_WRO,U2022,WRO,3.0,120.0,222,64,138,11,46,61,85,34,80,114,46,18,50,11,14,57,75,232,40.0,74.0,21.33,46.0,0.464,3.67,15.33,0.239,20.33,28.33,0.718,11.33,26.67,38.0,15.33,6.0,16.67,3.67,4.67,19.0,25.0,77.33
